Row #,NMFS Tracking Number,TITLE,Consultation Type,Status,Profile,Discussion Start Date,Date Request for Consultation Received,Consultation Initiation Date,Estimated Response Date,NMFS Response Date,More Information Requested Below,Mutually Agreed Extension Date,Date of Draft Release of Biological Opinion,Lead Federal Action Agency,Line Office,Common Name,Population Name,Listing Status,Action Agency Proposed Effect Determination (Species),NMFS Final Determination (Species),Action Agency Proposed Effect Determination (Critical Habitat),NMFS Final Determination (Critical Habitat),Reason Consultation Ended,Reason Early Coordination Ended,NMFS Conclusion Regarding Impacts to Fish Habitat,State,County,Latitude,Longitude,Datum,Activity Location,HUC_NUMBER,COMMENTS,NMFS Lead Region,NMFS Office,NMFS Division,NMFS State Office,Branch Team,NMFS Project Lead
"3,000",NWR-1999-1106,"Dever Conner Water Control District and Lewis Bank Stabilization Projects, Santiam River",Informal,Completed,"ESA-S7, Informal",,"Jul 12, 1999 12:00:00 AM",1999-07-22,1999-08-20,1999-08-16,,,,,,"Salmon, Chinook",Upper Willamette River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Near Albany - Marion Count,,,NWR,"Portland, OR",,,"HCD, OSHO - Oregon Coast/Lower Columbia Habitat Branch","Turner, Jim"
"3,001",NWR-1999-1106,"Dever Conner Water Control District and Lewis Bank Stabilization Projects, Santiam River",Informal,Completed,"ESA-S7, Informal",,"Jul 12, 1999 12:00:00 AM",1999-07-22,1999-08-20,1999-08-16,,,,,,Steelhead,Upper Willamette River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Near Albany - Marion Count,,,NWR,"Portland, OR",,,"HCD, OSHO - Oregon Coast/Lower Columbia Habitat Branch","Turner, Jim"
"3,002",NWR-1999-1107,Lane County Bridge Replacement on Gettings Creek,Informal,Completed,"ESA-S7, Informal",,"Jun 24, 1999 12:00:00 AM",1999-06-24,1999-07-23,1999-09-01,,,,,,"Salmon, Chinook",Upper Willamette River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Cottage Grove - Lane County,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Turner, Jim"
"3,003",NWR-1999-1108,"Construction of an Outfall Structure, Willamette River in Albany, Linn County",Informal,Completed,"ESA-S7, Informal",,"Jun 23, 1999 12:00:00 AM",1999-06-23,1999-07-22,1999-08-06,,,,,,"Salmon, Chinook",Upper Willamette River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,City of Albany - Linn County,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Turner, Jim"
"3,004",NWR-1999-1112,Taneum-Manastash Watershed,Informal,Completed,"ESA-S7, Informal",,"Jul 13, 1999 12:00:00 AM",,,1999-09-30,,,,,,Steelhead,Middle Columbia River,,May Affect - Not Likely to Adversely Affect,Withdrawn,,Withdrawn,,,,,,,,,Cle Elum,,,NWR,"Lacey, WA",,,"HCD, WSHO - Eastern Washington Habitat Branch","Carlson, Dennis"
"3,005",NWR-1999-1113,Harting Bridge Replacement,Informal,Completed,"ESA-S7, Informal",,"Jul 16, 1999 12:00:00 AM",1999-07-16,1999-08-15,1999-12-21,,,,,,Steelhead,Middle Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Columbia County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Eastern Washington Habitat Branch","Guy, Dan"
"3,006",NWR-1999-1114,SR 223 Yakima River Bridge #223/5,Informal,Completed,"ESA-S7, Informal",,"Jul 16, 1999 12:00:00 AM",1999-07-16,1999-08-15,1999-10-14,,,,,,"Salmon, Chinook",Mid-Columbia River spring-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Yakima, WA",,,NWR,"Lacey, WA",,,"HCD, WSHO - Eastern Washington Habitat Branch","Guy, Dan"
"3,007",NWR-1999-1114,SR 223 Yakima River Bridge #223/5,Informal,Completed,"ESA-S7, Informal",,"Jul 16, 1999 12:00:00 AM",1999-07-16,1999-08-15,1999-10-14,,,,,,Steelhead,Middle Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Yakima, WA",,,NWR,"Lacey, WA",,,"HCD, WSHO - Eastern Washington Habitat Branch","Guy, Dan"
"3,008",NWR-1999-1117,"Airport Runway Extension, Medford, Jackson County",Informal,Completed,"ESA-S7, Informal",,"May 7, 1999 12:00:00 AM",,,1999-07-22,,,,,,"Salmon, Chinook",Southern Oregon & Northern California Coastal,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Medford, Jackson County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,009",NWR-1999-1117,"Airport Runway Extension, Medford, Jackson County",Informal,Completed,"ESA-S7, Informal",,"May 7, 1999 12:00:00 AM",,,1999-07-22,,,,,,"Salmon, coho",Southern Oregon/Northern California Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Medford, Jackson County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,010",NWR-1999-1118,"Rudy Asman and Ted Pratt, Placement of Riprap Along Alsea Bay, Waldport, Lincoln County",Informal,Completed,"ESA-S7, Informal",,"Jul 19, 1999 12:00:00 AM",1999-07-19,1999-08-18,1999-07-27,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Alsea Bay/River, Waldport, Lincoln County, Oregon",,,NWR,"Portland, OR",,,"HCD, OSHO - Oregon Coast/Lower Columbia Habitat Branch","Carlon, Scott"
"3,011",NWR-1999-1119,"West Fork Illinois River Slide Repair, Highway 199, Josephine County",Formal,Completed,"ESA-S7, Formal",,"Jun 30, 1999 12:00:00 AM",1999-06-30,1999-11-11,1999-08-10,,,,,,"Salmon, Chinook",Southern Oregon & Northern California Coastal,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"near Cave Junction, Josephine County, Oregon",,,NWR,"Portland, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Munn, Nancy"
"3,012",NWR-1999-1119,"West Fork Illinois River Slide Repair, Highway 199, Josephine County",Formal,Completed,"ESA-S7, Formal",,"Jun 30, 1999 12:00:00 AM",1999-06-30,1999-11-11,1999-08-10,,,,,,"Salmon, coho",Southern Oregon/Northern California Coast,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"near Cave Junction, Josephine County, Oregon",,,NWR,"Portland, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Munn, Nancy"
"3,013",NWR-1999-1119,"West Fork Illinois River Slide Repair, Highway 199, Josephine County",Formal,Completed,"ESA-S7, Formal",,"Jun 30, 1999 12:00:00 AM",1999-06-30,1999-11-11,1999-08-10,,,,,,Steelhead,Klamath Mountains Province,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"near Cave Junction, Josephine County, Oregon",,,NWR,"Portland, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Munn, Nancy"
"3,014",NWR-1999-1120,"Reinitiation for Myrtle Creek to Canyonville Highway Improvement Project, Douglas County",Informal,Completed,"ESA-S7, Informal",,"Jul 22, 1999 12:00:00 AM",1999-07-22,1999-08-20,1999-10-28,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Interstate 5, Douglas County, OR",,,NWR,"Portland, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Munn, Nancy"
"3,015",NWR-1999-1120,"Reinitiation for Myrtle Creek to Canyonville Highway Improvement Project, Douglas County",Informal,Completed,"ESA-S7, Informal",,"Jul 22, 1999 12:00:00 AM",1999-07-22,1999-08-20,1999-10-28,,,,,,Steelhead,Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Interstate 5, Douglas County, OR",,,NWR,"Portland, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Munn, Nancy"
"3,016",NWR-1999-1120,"Reinitiation for Myrtle Creek to Canyonville Highway Improvement Project, Douglas County",Informal,Completed,"ESA-S7, Informal",,"Jul 22, 1999 12:00:00 AM",1999-07-22,1999-08-20,1999-10-28,,,,,,"Trout, cutthroat",Umpqua River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Interstate 5, Douglas County, OR",,,NWR,"Portland, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Munn, Nancy"
"3,017",NWR-1999-1121,Ochoco National Forest Ongoing and Proposed NLAA Actions,Informal,Completed,"ESA-S7, Informal",,"Jul 7, 1999 12:00:00 AM",1999-07-07,1999-08-05,1999-09-22,,,,,,Steelhead,Middle Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Ochoco National Forest--Trout Creek (Deschutes River) and John Day River basin,,,NWR,,,,"HCD, OSHO - Eastern Oregon Habitat Branch","Lindland, Ron"
"3,018",NWR-1999-1122,"Winchuck River Bank Stabilization Project, Curry County",Informal,Completed,"ESA-S7, Informal",,"Apr 22, 1999 12:00:00 AM",,,1999-07-23,,,,,,"Salmon, coho",Southern Oregon/Northern California Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"River Mile 3.5, Winchuck River, near Brookings, Curry County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Bird, Frank"
"3,019",NWR-1999-1123,"Culvert Replacement on Champman Creek, Curry County",Informal,Completed,"ESA-S7, Informal",,"Apr 21, 1999 12:00:00 AM",,,1999-07-23,,,,,,"Salmon, coho",Southern Oregon/Northern California Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Champman Creek, near Port Orford, Curry County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Bird, Frank"
"3,020",NWR-1999-1124,"Post-Harvest Site Preparation for Three Timber Sales, Douglas County",Informal,Completed,"ESA-S7, Informal",,"Mar 10, 1999 12:00:00 AM",1999-03-10,1999-04-08,1999-07-27,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Douglas County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,021",NWR-1999-1125,"Red Top Salvage Timber Sale, Douglas County",Informal,Completed,"ESA-S7, Informal",,"Jan 4, 1999 12:00:00 AM",1999-01-04,1999-02-02,1999-07-27,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Douglas County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,022",NWR-1999-1126,"Bear Creek Storm Drain Outfall Construction, Central Point, Jackson County",Informal,Completed,"ESA-S7, Informal",,"Dec 18, 1998 12:00:00 AM",,,1999-07-23,,,,,,"Salmon, coho",Southern Oregon/Northern California Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Central Point, Jackson County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,023",NWR-1999-1127,"Port of Brookings Boat Harbor Dredging, Curry County",Informal,Completed,"ESA-S7, Informal",,"Apr 29, 1999 12:00:00 AM",1999-04-29,1999-05-28,1999-07-23,,,,,,"Salmon, coho",Southern Oregon/Northern California Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Chetco River (RM 0.2), Port of Brookings Harbor, Curry County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Bird, Frank"
"3,024",NWR-1999-1131,"Miller Forests Bank Stabilzation on Willamette River, Polk County",Informal,Completed,"ESA-S7, Informal",,"Jul 12, 1999 12:00:00 AM",1999-07-12,1999-08-10,1999-08-16,,,,,,Steelhead,Upper Willamette River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Willamette River mile 92 near Independence, Polk County, Oregon",,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Turner, Jim"
"3,025",NWR-1999-1132,"Reece Dock Project, Willamette River, Clackamas County",Informal,Completed,"ESA-S7, Informal",,"Jul 12, 1999 12:00:00 AM",1999-07-12,1999-08-10,1999-08-23,,,,,,Steelhead,Lower Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Willamette River mile 39 near Aurora, Clackamas County, Oregon",,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Turner, Jim"
"3,026",NWR-1999-1133,"Portland Rowing Club Facility Maintenance Dredging, Willamette River",Informal,Completed,"ESA-S7, Informal",,"May 10, 1999 12:00:00 AM",1999-05-10,1999-06-08,1999-08-03,,,,,,"Salmon, Chinook",Lower Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Willamette River mile 16.8 at Portland, OR",,,NWR,,,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,027",NWR-1999-1133,"Portland Rowing Club Facility Maintenance Dredging, Willamette River",Informal,Completed,"ESA-S7, Informal",,"May 10, 1999 12:00:00 AM",1999-05-10,1999-06-08,1999-08-03,,,,,,"Salmon, Chinook",Upper Willamette River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Willamette River mile 16.8 at Portland, OR",,,NWR,,,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,028",NWR-1999-1133,"Portland Rowing Club Facility Maintenance Dredging, Willamette River",Informal,Completed,"ESA-S7, Informal",,"May 10, 1999 12:00:00 AM",1999-05-10,1999-06-08,1999-08-03,,,,,,"Salmon, chum",Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Willamette River mile 16.8 at Portland, OR",,,NWR,,,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,029",NWR-1999-1133,"Portland Rowing Club Facility Maintenance Dredging, Willamette River",Informal,Completed,"ESA-S7, Informal",,"May 10, 1999 12:00:00 AM",1999-05-10,1999-06-08,1999-08-03,,,,,,Steelhead,Upper Willamette River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Willamette River mile 16.8 at Portland, OR",,,NWR,,,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,030",NWR-1999-1134,"Abiqua Creek Bank Stabilization, Marion County",Informal,Completed,"ESA-S7, Informal",,"Jul 19, 1999 12:00:00 AM",1999-07-19,1999-08-17,1999-08-03,,,,,,"Salmon, Chinook",Upper Willamette River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Abiqua Creek, Marion Co near Silverton OR",,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,031",NWR-1999-1135,"1993-2-00500, Christensen Group, Inc.",Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",,,1999-08-20,,,,,,"Salmon, Chinook",Snake River fall-run,,May Affect - Not Likely to Adversely Affect,Withdrawn,,Withdrawn,,,,,,,,,"Vancouver, WA (Clark County)",,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Friedman, Rachel"
"3,032",NWR-1999-1135,"1993-2-00500, Christensen Group, Inc.",Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",,,1999-08-20,,,,,,"Salmon, Chinook",Lower Columbia River,,May Affect - Not Likely to Adversely Affect,Withdrawn,,Withdrawn,,,,,,,,,"Vancouver, WA (Clark County)",,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Friedman, Rachel"
"3,033",NWR-1999-1135,"1993-2-00500, Christensen Group, Inc.",Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",,,1999-08-20,,,,,,"Salmon, Chinook",Snake River spring/summer-run,,May Affect - Not Likely to Adversely Affect,Withdrawn,,Withdrawn,,,,,,,,,"Vancouver, WA (Clark County)",,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Friedman, Rachel"
"3,034",NWR-1999-1135,"1993-2-00500, Christensen Group, Inc.",Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",,,1999-08-20,,,,,,"Trout, cutthroat",Southwestern Washington/Columbia River,,May Affect - Not Likely to Adversely Affect,Withdrawn,,Withdrawn,,,,,,,,,"Vancouver, WA (Clark County)",,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Friedman, Rachel"
"3,035",NWR-1999-1135,"1993-2-00500, Christensen Group, Inc.",Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",,,1999-08-20,,,,,,Steelhead,Lower Columbia River,,May Affect - Not Likely to Adversely Affect,Withdrawn,,Withdrawn,,,,,,,,,"Vancouver, WA (Clark County)",,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Friedman, Rachel"
"3,036",NWR-1999-1135,"1993-2-00500, Christensen Group, Inc.",Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",,,1999-08-20,,,,,,"Salmon, chum",Columbia River,,May Affect - Not Likely to Adversely Affect,Withdrawn,,Withdrawn,,,,,,,,,"Vancouver, WA (Clark County)",,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Friedman, Rachel"
"3,037",NWR-1999-1136,Jorsted Creek Slide Drilling,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-09,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts (Jefferson County),,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,038",NWR-1999-1136,Jorsted Creek Slide Drilling,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-09,,,,,,"Salmon, chum",Hood Canal summer-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts (Jefferson County),,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,039",NWR-1999-1137,Fulton Thin,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,040",NWR-1999-1137,Fulton Thin,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, chum",Hood Canal summer-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,041",NWR-1999-1138,Ahlover Timber Sale,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,042",NWR-1999-1138,Ahlover Timber Sale,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, chum",Hood Canal summer-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,043",NWR-1999-1139,Govey Timber Sale,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,044",NWR-1999-1139,Govey Timber Sale,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, chum",Hood Canal summer-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,045",NWR-1999-114,DEER CREEK,Informal,Completed,"ESA-S7, Informal",,"Jul 15, 1995 12:00:00 AM",,,1995-07-15,,,,,,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,,,,NWR,"Boise, ID",,,"HCD, ISHO - South Idaho Habitat Branch",
"3,046",NWR-1999-1140,Hamma Hamma Road Reconstruction,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-09,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts (Jefferson County),,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,047",NWR-1999-1140,Hamma Hamma Road Reconstruction,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-09,,,,,,"Salmon, chum",Hood Canal summer-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts (Jefferson County),,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,048",NWR-1999-1141,USGS Seismic Testing,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, chum",Hood Canal summer-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,049",NWR-1999-1141,USGS Seismic Testing,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,050",NWR-1999-1142,Quilcene and Hood Canal Ranger Districts USGS Seismic Testing,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",,,1999-08-30,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Technical Assistance Provided,,Technical Assistance Provided,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,051",NWR-1999-1142,Quilcene and Hood Canal Ranger Districts USGS Seismic Testing,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",,,1999-08-30,,,,,,"Salmon, chum",Hood Canal summer-run,,May Affect - Not Likely to Adversely Affect,Technical Assistance Provided,,Technical Assistance Provided,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,052",NWR-1999-1143,Road Maintenance,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-09,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts (Jefferson & Mason Counties),,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,053",NWR-1999-1143,Road Maintenance,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-09,,,,,,"Salmon, chum",Hood Canal summer-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts (Jefferson & Mason Counties),,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
